Feedback,Category
Unexpected billing amount for my recent order.,Billing
Cannot update payment method for the last two days.,Billing
Button not working since yesterday.,Product
Refund is delayed for order #14722.,Billing
Card declined incorrectly on my first attempt.,Billing
Checkout page not loading as soon as possible.,Technical Support
Not as described since yesterday.,Product
Tracking not updating after the latest update.,Delivery
Warranty period every time I try.,General Inquiry
Website keeps crashing every time I try.,Technical Support
Cannot update payment method since yesterday.,Billing
Card declined incorrectly for my recent order.,Billing
Mobile app closes automatically for order #91490.,Technical Support
Delivery person never arrived for the last two days.,Delivery
Received after expected date and I need help.,Delivery
What are your business hours as soon as possible.,General Inquiry
Received after expected date please resolve this quickly.,Delivery
Server not responding and I need help.,Technical Support
Not as described please resolve this quickly.,Product
Product stopped working and I need help.,Product
Password reset not working for the last two days.,Technical Support
Item is defective for order #39466.,Product
Refund not received for order #11025.,Billing
Where is your office located and I need help.,General Inquiry
My payment failed since yesterday.,Billing
Password reset not working every time I try.,Technical Support
Gift wrapping available and I need help.,General Inquiry
Server not responding every time I try.,Technical Support
Not as described and I need help.,Product
Server not responding every time I try.,Technical Support
Parcel missing on my first attempt.,Delivery
Not as described for my recent order.,Product
Need invoice copy on my first attempt.,Billing
Card declined incorrectly as soon as possible.,Billing
Package damaged during delivery for order #97012.,Delivery
Checkout page not loading and I need help.,Technical Support
Package damaged during delivery for my recent order.,Delivery
Product arrived broken on my first attempt.,Product
Application freezes after the latest update.,Technical Support
Unexpected billing amount and I need help.,Billing
Warranty period for the last two days.,General Inquiry
Package not received after the latest update.,Delivery
App is slow and I need help.,Technical Support
Search feature not working every time I try.,Technical Support
Mobile app closes automatically for the last two days.,Technical Support
Invoice is incorrect on my first attempt.,Billing
Where is your office located for my recent order.,General Inquiry
Delivery person never arrived for the last two days.,Delivery
Search feature not working as soon as possible.,Technical Support
Can I cancel my order as soon as possible.,General Inquiry
Order still in transit please resolve this quickly.,Delivery
Missing parts every time I try.,Product
Package arrived late after the latest update.,Delivery
Delivery person never arrived after the latest update.,Delivery
Not as described since yesterday.,Product
Application freezes please resolve this quickly.,Technical Support
Shipment delayed for my recent order.,Delivery
Gift wrapping available please resolve this quickly.,General Inquiry
Product arrived broken for order #57419.,Product
Shipment delayed as soon as possible.,Delivery
I was charged twice for order #26483.,Billing
Search feature not working for the last two days.,Technical Support
How can I contact support and I need help.,General Inquiry
Invoice is incorrect for the last two days.,Billing
Package damaged during delivery please resolve this quickly.,Delivery
Refund is delayed for my recent order.,Billing
Website keeps crashing please resolve this quickly.,Technical Support
Received after expected date on my first attempt.,Delivery
Item is defective every time I try.,Product
Courier delivered to wrong address for the last two days.,Delivery
Not as described for my recent order.,Product
What are your business hours please resolve this quickly.,General Inquiry
Wrong color received after the latest update.,Product
Unexpected billing amount since yesterday.,Billing
Courier delivered to wrong address please resolve this quickly.,Delivery
Delivery person never arrived as soon as possible.,Delivery
International shipping available on my first attempt.,General Inquiry
International shipping available for order #59015.,General Inquiry
Item is defective every time I try.,Product
Order still in transit please resolve this quickly.,Delivery
Do you offer discounts as soon as possible.,General Inquiry
Package not received after the latest update.,Delivery
Item is defective and I need help.,Product
Gift wrapping available please resolve this quickly.,General Inquiry
Server not responding for the last two days.,Technical Support
What are your business hours every time I try.,General Inquiry
Cannot log in for order #92998.,Technical Support
Gift wrapping available as soon as possible.,General Inquiry
Password reset not working for the last two days.,Technical Support
Received after expected date since yesterday.,Delivery
Received after expected date since yesterday.,Delivery
Parcel missing on my first attempt.,Delivery
Do you offer discounts and I need help.,General Inquiry
Shipment delayed on my first attempt.,Delivery
Order still in transit every time I try.,Delivery
Need invoice copy on my first attempt.,Billing
Product stopped working every time I try.,Product
Error message displayed after the latest update.,Technical Support
Tracking not updating every time I try.,Delivery
Checkout page not loading after the latest update.,Technical Support
Do you offer discounts as soon as possible.,General Inquiry
Server not responding for order #58176.,Technical Support
International shipping available for my recent order.,General Inquiry
How can I contact support on my first attempt.,General Inquiry
Password reset not working as soon as possible.,Technical Support
Website keeps crashing since yesterday.,Technical Support
Received after expected date and I need help.,Delivery
Poor quality product on my first attempt.,Product
Received after expected date on my first attempt.,Delivery
Gift wrapping available please resolve this quickly.,General Inquiry
Not as described for order #28958.,Product
Card declined incorrectly since yesterday.,Billing
Gift wrapping available for my recent order.,General Inquiry
Package damaged during delivery as soon as possible.,Delivery
Wrong size received since yesterday.,Product
Missing parts every time I try.,Product
Password reset not working every time I try.,Technical Support
Shipment delayed every time I try.,Delivery
Product stopped working since yesterday.,Product
Delivery person never arrived for the last two days.,Delivery
Do you offer discounts every time I try.,General Inquiry
Invoice is incorrect for the last two days.,Billing
Cannot log in for order #76840.,Technical Support
Cannot update payment method after the latest update.,Billing
Cannot log in for the last two days.,Technical Support
Cannot log in and I need help.,Technical Support
Warranty period since yesterday.,General Inquiry
Device overheats for order #59441.,Product
Search feature not working every time I try.,Technical Support
How can I contact support as soon as possible.,General Inquiry
Wrong color received please resolve this quickly.,Product
Wrong size received for the last two days.,Product
Package not received for my recent order.,Delivery
Mobile app closes automatically for the last two days.,Technical Support
Not as described after the latest update.,Product
Card declined incorrectly for my recent order.,Billing
Missing parts and I need help.,Product
Order still in transit after the latest update.,Delivery
Missing parts since yesterday.,Product
Refund not received for my recent order.,Billing
Unexpected billing amount since yesterday.,Billing
Do you offer discounts and I need help.,General Inquiry
Application freezes after the latest update.,Technical Support
Not as described on my first attempt.,Product
Cannot update payment method and I need help.,Billing
Delivery person never arrived as soon as possible.,Delivery
Website keeps crashing as soon as possible.,Technical Support
Warranty period on my first attempt.,General Inquiry
I was charged twice since yesterday.,Billing
Package arrived late every time I try.,Delivery
Can I cancel my order on my first attempt.,General Inquiry
Error message displayed for the last two days.,Technical Support
Cannot log in for order #38183.,Technical Support
Where is your office located every time I try.,General Inquiry
Can I change my address on my first attempt.,General Inquiry
Wrong size received for my recent order.,Product
Refund is delayed for my recent order.,Billing
Poor quality product for order #87356.,Product
Gift wrapping available for order #48058.,General Inquiry
Can I cancel my order for order #11071.,General Inquiry
Search feature not working since yesterday.,Technical Support
Package not received for the last two days.,Delivery
Product arrived broken after the latest update.,Product
Not as described after the latest update.,Product
Checkout page not loading as soon as possible.,Technical Support
International shipping available every time I try.,General Inquiry
Cannot log in for order #38197.,Technical Support
Order still in transit please resolve this quickly.,Delivery
Where is your office located for the last two days.,General Inquiry
Website keeps crashing every time I try.,Technical Support
Invoice is incorrect for my recent order.,Billing
Cannot log in after the latest update.,Technical Support
Mobile app closes automatically since yesterday.,Technical Support
Where is your office located as soon as possible.,General Inquiry
Website keeps crashing and I need help.,Technical Support
What payment methods are accepted please resolve this quickly.,General Inquiry
Package not received for the last two days.,Delivery
Product arrived broken after the latest update.,Product
Not as described after the latest update.,Product
Invoice is incorrect for order #68800.,Billing
Application freezes for my recent order.,Technical Support
Courier delivered to wrong address for my recent order.,Delivery
Package damaged during delivery since yesterday.,Delivery
Unexpected billing amount after the latest update.,Billing
Can I change my address for the last two days.,General Inquiry
Product arrived broken please resolve this quickly.,Product
Do you offer discounts for order #93859.,General Inquiry
Item is defective after the latest update.,Product
App is slow after the latest update.,Technical Support
Device overheats please resolve this quickly.,Product
Poor quality product after the latest update.,Product
What payment methods are accepted please resolve this quickly.,General Inquiry
Can I change my address since yesterday.,General Inquiry
Missing parts for the last two days.,Product
Shipment delayed and I need help.,Delivery
Website keeps crashing and I need help.,Technical Support
Courier delivered to wrong address since yesterday.,Delivery
What are your business hours on my first attempt.,General Inquiry
Error message displayed for order #78517.,Technical Support
Application freezes for my recent order.,Technical Support
Item is defective on my first attempt.,Product
Payment gateway error for my recent order.,Billing
Parcel missing for order #66148.,Delivery
Cannot log in every time I try.,Technical Support
Package not received for order #73372.,Delivery
Refund not received after the latest update.,Billing
Item is defective as soon as possible.,Product
How can I contact support every time I try.,General Inquiry
Error message displayed since yesterday.,Technical Support
Need invoice copy for the last two days.,Billing
Device overheats for my recent order.,Product
Wrong size received on my first attempt.,Product
Button not working please resolve this quickly.,Product
Can I change my address for the last two days.,General Inquiry
Shipment delayed for the last two days.,Delivery
Error message displayed as soon as possible.,Technical Support
I was charged twice for the last two days.,Billing
Cannot update payment method since yesterday.,Billing
Do you offer discounts for my recent order.,General Inquiry
Cannot update payment method please resolve this quickly.,Billing
Wrong size received and I need help.,Product
Product arrived broken for my recent order.,Product
Button not working every time I try.,Product
Cannot log in as soon as possible.,Technical Support
Package damaged during delivery and I need help.,Delivery
Cannot update payment method on my first attempt.,Billing
Checkout page not loading for order #59372.,Technical Support
Warranty period please resolve this quickly.,General Inquiry
What are your business hours as soon as possible.,General Inquiry
Item is defective as soon as possible.,Product
Package damaged during delivery and I need help.,Delivery
International shipping available since yesterday.,General Inquiry
Shipment delayed as soon as possible.,Delivery
Product arrived broken for my recent order.,Product
Payment gateway error as soon as possible.,Billing
Refund not received for order #17989.,Billing
Need invoice copy as soon as possible.,Billing
Cannot log in and I need help.,Technical Support
Server not responding after the latest update.,Technical Support
Mobile app closes automatically please resolve this quickly.,Technical Support
How can I contact support for order #81313.,General Inquiry
Package damaged during delivery please resolve this quickly.,Delivery
Device overheats after the latest update.,Product
Password reset not working after the latest update.,Technical Support
Wrong size received for order #11792.,Product
Button not working every time I try.,Product
Package not received on my first attempt.,Delivery
I was charged twice and I need help.,Billing
Tracking not updating as soon as possible.,Delivery
Missing parts and I need help.,Product
Package not received for order #88222.,Delivery
Invoice is incorrect on my first attempt.,Billing
Wrong size received as soon as possible.,Product
Missing parts for my recent order.,Product
Invoice is incorrect every time I try.,Billing
Wrong size received since yesterday.,Product
Need invoice copy every time I try.,Billing
Order still in transit and I need help.,Delivery
